City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
282,Conceicao Da Barra,BR,78.24,overcast clouds,-18.59,-39.73,Cricaré Praia Hotel
286,Soroti,UG,81.1,light rain,1.71,33.61,Marcllay Hotel - Soroti
288,Altamira,BR,80.6,scattered clouds,-3.2,-52.21,Requinte Hotel
290,Agogo,GH,88.86,broken clouds,6.8,-1.08,Tele Centre Hotel
292,Kavaratti,IN,84.15,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
294,Mineiros,BR,78.28,broken clouds,-17.57,-52.55,Pilões Palace Hotel
299,Angoche,MZ,86.4,clear sky,-16.23,39.91,Guest House HESADA
302,Tabou,CI,84.54,scattered clouds,4.42,-7.35,hotêl doufoulougou
309,Faanui,PF,77.92,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
313,Bac Lieu,VN,79.54,light rain,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
316,Xuddur,SO,85.86,few clouds,4.12,43.89,Banjanay Hotel
321,Hobyo,SO,83.5,moderate rain,5.35,48.53,Osmani Hotel
324,Black River,JM,81.0,few clouds,18.03,-77.85,Idlers' Rest Beach Hotel
325,Mbeya,TZ,87.17,few clouds,-8.9,33.45,Leda Lodge
326,Iracoubo,GF,81.97,few clouds,5.48,-53.2,Le Gite D Iracoubo
328,Mabaruma,GY,76.87,overcast clouds,8.2,-59.78,
330,Caucaia,BR,82.4,broken clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
333,Cayenne,GF,78.8,clear sky,4.93,-52.33,Hôtel Le Dronmi
334,Carutapera,BR,83.32,light rain,-1.2,-46.02,Lidera
340,Aswan,EG,84.45,clear sky,24.09,32.91,Nuba Nile
341,Gorontalo,ID,76.66,broken clouds,0.54,123.06,Maqna Hotel by Prasanthi
344,Tagusao,PH,81.32,light rain,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
345,Souillac,MU,78.8,scattered clouds,-20.52,57.52,Bils' Villa
