City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Cedral,MX,23.8,-100.73,55.53,76,0,2.64,clear sky
116,Howard Springs,AU,-12.5,131.05,87.8,62,20,11.41,few clouds
117,Belaya Gora,RU,68.53,146.42,-16.64,89,98,1.74,overcast clouds
118,Poum,NC,-20.23,164.02,74.32,78,89,13.78,overcast clouds
119,Norden,DE,53.6,7.2,48.99,93,75,9.17,mist
120,Port Lincoln,AU,-34.73,135.87,73.15,43,0,20.62,clear sky
121,Nikolskoye,RU,59.7,30.79,42.01,93,90,11.18,light intensity shower rain
122,Markova,UA,48.68,24.41,44.6,93,90,6.71,mist
123,Bairiki,KI,1.33,172.98,80.6,74,20,5.82,few clouds
124,Puerto Ayora,EC,-0.74,-90.35,64.99,91,90,1.01,overcast clouds
125,Kutum,SD,14.2,24.67,80.47,22,0,1.68,clear sky
126,Trelew,AR,-43.25,-65.31,72.55,53,74,10.83,broken clouds
127,Meulaboh,ID,4.14,96.13,80.11,79,100,0.85,overcast clouds
128,Charters Towers,AU,-20.1,146.27,71.17,71,76,17.31,broken clouds
129,Kavieng,PG,-2.57,150.8,83.08,71,56,3.8,broken clouds
130,Beringovskiy,RU,63.05,179.32,32.76,95,100,25.12,overcast clouds
131,Les Cayes,HT,18.2,-73.75,79.47,84,97,4.7,overcast clouds
132,Kahului,US,20.89,-156.47,75.2,64,1,5.82,clear sky
133,Khatanga,RU,71.97,102.5,15.85,96,100,18.81,snow
134,Acapulco,MX,16.86,-99.89,77.04,81,13,2.44,few clouds
135,Bathsheba,BB,13.22,-59.52,80.6,78,40,14.99,scattered clouds
136,Saint-Philippe,RE,-21.36,55.77,80.6,69,20,23.04,few clouds
137,Sitka,US,57.05,-135.33,42.8,93,90,3.36,light rain
138,Kruisfontein,ZA,-34.0,24.73,55.99,86,99,7.0,overcast clouds
139,Clyde River,CA,70.47,-68.59,-2.2,70,1,16.11,clear sky
140,Rognan,NO,67.1,15.39,43.0,73,100,10.89,overcast clouds
141,Skarnes,NO,60.25,11.68,35.01,100,90,2.24,fog
142,Coquimbo,CL,-29.95,-71.34,53.6,87,90,4.7,overcast clouds
143,Chapais,CA,49.78,-74.85,42.8,100,90,6.93,mist
144,Pevek,RU,69.7,170.31,18.3,93,99,6.53,overcast clouds
145,Matay,EG,28.42,30.78,78.6,40,41,11.21,scattered clouds
146,Trairi,BR,-3.28,-39.27,85.95,60,29,14.67,scattered clouds
147,Arraial Do Cabo,BR,-22.97,-42.03,75.2,100,90,3.36,overcast clouds
148,Edson,CA,53.58,-116.44,6.8,84,1,5.82,clear sky
149,Upata,VE,8.01,-62.4,75.99,90,100,4.32,overcast clouds
150,Carnarvon,AU,-24.87,113.63,69.8,83,75,20.8,broken clouds
151,Inta,RU,66.03,60.17,23.92,98,100,10.83,light snow
152,Ust-Nera,RU,64.57,143.2,-15.9,80,25,1.23,scattered clouds
153,Thompson,CA,55.74,-97.86,10.4,85,90,13.87,light snow
154,Zhoucheng,CN,35.91,116.31,52.41,40,0,4.14,clear sky
155,Huacho,PE,-11.11,-77.61,62.8,81,88,4.72,overcast clouds
156,Muisne,EC,0.6,-80.03,73.8,86,100,7.7,light rain
157,Baruun-Urt,MN,46.68,113.28,33.37,81,0,10.36,clear sky
